"","ï..Protocol","Sheet","Data.Set","Input.Gate","X.Parameter","Y.Parameter","Gate","Number","X.Total","X.Gated","X.Med","X.AMean","X.Mode","X.Stdev","X.CV","HP.X.CV","X.Min","X.Max","X.GMean","Y.Med","Y.AMean","Y.Mode","Y.Stdev","Y.CV","HP.Y.CV","Y.Min","Y.Max","Y.GMean","Logic"
"7219","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","cd25","K-+",NA,NA,"19.13","1.91","1.97","","0.55","28.01",NA,NA,NA,"1.88","0.61","0.70",NA,"0.30","42.60",NA,NA,NA,"0.66",""
"7220","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","cd25","K+-",NA,NA,"0.54","4.62","5.50","","2.15","38.99",NA,NA,NA,"5.14","0.14","0.14",NA,"0.11","76.87",NA,NA,NA,"0.14",""
"7221","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","cd25","K++",NA,NA,"0.63","4.16","4.65","","1.43","30.74",NA,NA,NA,"4.48","0.98","1.89",NA,"2.85","150.51",NA,NA,NA,"1.21",""
"7222","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","cd25","All",NA,NA,"100.00","1.72","1.75","","0.62","35.67",NA,NA,NA,"1.63","0.20","0.23",NA,"0.19","81.59",NA,NA,NA,"0.21",""
"7223","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","cd25","L--",NA,NA,"87.80","1.69","1.68","","0.54","32.10",NA,NA,NA,"1.58","0.16","0.18",NA,"0.11","64.42",NA,NA,NA,"0.17",""
"7224","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","cd25","L-+",NA,NA,"10.98","1.77","2.08","","0.78","37.47",NA,NA,NA,"1.94","0.50","0.56",NA,"0.21","37.95",NA,NA,NA,"0.54",""
"7225","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","cd25","L+-",NA,NA,"0.00","N/A","N/A","","N/A","N/A",NA,NA,NA,"N/A","N/A","N/A",NA,"N/A","N/A",NA,NA,NA,"N/A",""
"7226","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","cd25","L++",NA,NA,"1.22","3.80","3.80","","0.00","0.00",NA,NA,NA,"3.80","0.77","0.77",NA,"0.00","0.00",NA,NA,NA,"0.77",""
"7227","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","cd25","All",NA,NA,"100.00","2.63","5.11","","31.32","613.35",NA,NA,NA,"3.10","0.55","",NA,"3.68","169.91",NA,NA,NA,"0.85",""
"7228","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","cd25","M--",NA,NA,"36.45","1.98","2.03","","0.60","29.48",NA,NA,NA,"1.93","0.24","",NA,"0.11","46.60",NA,NA,NA,"0.22",""
"7229","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","cd25","M-+",NA,NA,"32.34","2.36","2.41","","0.64","26.70",NA,NA,NA,"2.30","0.66","",NA,"1.94","152.43",NA,NA,NA,"0.85",""
"7230","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","cd25","M+-",NA,NA,"2.52","5.36","43.59","","191.54","439.47",NA,NA,NA,"6.79","0.24","",NA,"0.15","65.67",NA,NA,NA,"0.21",""
"7231","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","cd25","M++",NA,NA,"28.69","7.50","8.67","","5.25","60.51",NA,NA,NA,"7.66","4.69","",NA,"4.87","83.80",NA,NA,NA,"3.84",""
